sample,amplicon,frac,cooc,count,mut_all,mut_oneless,omxbb15,ombba286
davos_20240116,1,9.73699300018392e-05,2,92431,9,93101,1.0,
davos_20240116,2,0.00041186161449752884,2,2428,1,2480,1.0,
davos_20240116,33,0.036876223091976516,1,16352,603,0,1.0,
davos_20240116,52,0.0034720475016353845,2,79492,276,89119,1.0,
davos_20240116,71,1.0,2,98,98,0,1.0,
davos_20240116,72,0.0,3,5,0,105,1.0,
davos_20240116,73,0.0,5,6712,0,65,1.0,
davos_20240116,74,0.0,2,2300,0,0,1.0,
davos_20240116,75,0.0,8,2786,0,0,1.0,
davos_20240116,76,0.0,11,49,0,0,1.0,
davos_20240116,77,0.0,8,53,0,0,1.0,
davos_20240116,78,0.0002128293534244243,4,23493,5,23830,1.0,
davos_20240116,79,3.765769158350593e-05,3,26555,1,26543,1.0,
davos_20240116,81,1.0,2,151,151,2,1.0,
davos_20240116,85,0.10437854111846004,2,42183,4403,38019,1.0,
davos_20240116,87,0.0002333177788147457,3,12858,3,12847,1.0,
davos_20240116,89,0.9989059080962801,2,5484,5478,4051,1.0,
davos_20240116,93,0.0348014009985841,2,40257,1401,39435,1.0,
davos_20240116,14,0.9996576905522593,2,8764,8761,162,1.0,1.0
davos_20240116,31,1.0,3,1830,1830,52,1.0,1.0
davos_20240116,34,0.9996848242895414,2,38074,38062,626,1.0,1.0
davos_20240116,35,0.9997087095834547,2,37763,37752,12,1.0,1.0
davos_20240116,66,0.9997932389124367,2,29019,29013,516,1.0,1.0
davos_20240116,91,0.9996594005449592,2,2936,2935,15801,1.0,1.0
davos_20240116,94,0.9990515804157736,3,235128,234905,30609,1.0,1.0
davos_20240116,95,0.9977966635190432,3,3177,3170,260057,1.0,1.0
davos_20240116,99,0.9997582491316703,2,202688,202639,264853,1.0,1.0
davos_20240116,3,0.9997394136807818,2,122800,122768,1566,,1.0
davos_20240116,12,0.0,2,15,0,5653,,1.0
davos_20240116,37,0.9998930195239368,1,18695,18693,0,,1.0
davos_20240116,42,0.9994825087973505,3,9662,9657,45,,1.0
davos_20240116,52,0.9741299088032757,2,10746,10468,78934,,1.0
davos_20240116,71,1.0,4,98,98,0,,1.0
davos_20240116,72,1.0,6,5,5,0,,1.0
davos_20240116,73,0.0,7,6711,0,6478,,1.0
davos_20240116,74,0.9995458673932789,5,2202,2201,99,,1.0
davos_20240116,75,0.930441018286124,9,2789,2595,6,,1.0
davos_20240116,76,0.02040816326530612,16,49,1,48,,1.0
davos_20240116,77,0.018867924528301886,9,53,1,52,,1.0
davos_20240116,78,0.9990065926126614,6,22146,22124,1730,,1.0
davos_20240116,79,0.9994351346262474,3,26555,26540,198,,1.0
davos_20240116,81,1.0,3,151,151,2,,1.0
davos_20240116,83,0.9993765586034913,2,12832,12824,43,,1.0
davos_20240116,87,0.999377819256494,2,12858,12850,944,,1.0
davos_20240116,88,0.9992376111817026,3,3935,3932,57,,1.0
davos_20240116,89,0.9983311700352309,4,5393,5384,141,,1.0
davos_20240116,92,0.9745583038869258,2,1415,1379,576,,1.0
davos_20240116,93,0.9649109919439751,2,40839,39406,1439,,1.0
davos_20240116,97,0.9982465687163674,2,66156,66040,235,,1.0
davos_20240122,1,5.102604879791133e-05,2,235174,12,236581,1.0,
davos_20240122,2,0.0008928571428571428,2,1120,1,1176,1.0,
davos_20240122,33,0.04940907357987038,1,52460,2592,0,1.0,
davos_20240122,52,1.8370871146709777e-05,2,217736,4,241799,1.0,
davos_20240122,71,0.9989333333333333,2,1875,1873,2,1.0,
davos_20240122,72,0.0,3,96,0,1961,1.0,
davos_20240122,73,0.0,5,55674,0,0,1.0,
davos_20240122,74,0.0,2,32929,0,1,1.0,
davos_20240122,75,0.0,8,18090,0,4,1.0,
davos_20240122,76,0.0,11,737,0,0,1.0,
davos_20240122,77,0.0,8,782,0,0,1.0,
davos_20240122,78,6.4263222157959e-05,4,62244,4,55899,1.0,
davos_20240122,79,8.472422265525714e-05,3,35409,3,35392,1.0,
davos_20240122,81,0.9983633387888707,2,611,610,4,1.0,
davos_20240122,85,2.0924879681941827e-05,2,95580,2,96084,1.0,
davos_20240122,87,8.059316569954868e-05,3,24816,2,24809,1.0,
davos_20240122,89,0.9991134176667748,2,46245,46204,49616,1.0,
davos_20240122,93,1.8780048076923078e-05,2,159744,3,161473,1.0,
davos_20240122,14,0.9996140326693777,2,72545,72517,1068,1.0,1.0
davos_20240122,31,0.999475851740921,3,13355,13348,293,1.0,1.0
davos_20240122,34,0.9995713181202299,2,130633,130577,2688,1.0,1.0
davos_20240122,35,0.9996071755925101,2,129829,129778,52,1.0,1.0
davos_20240122,66,0.9997972621576595,2,113447,113424,8044,1.0,1.0
davos_20240122,91,0.9983375448862881,2,15038,15013,98713,1.0,1.0
davos_20240122,94,0.9980024377031419,3,443040,442155,54712,1.0,1.0
davos_20240122,95,0.9981485767183522,3,4321,4313,488192,1.0,1.0
davos_20240122,99,0.9997390744359567,2,360256,360162,459298,1.0,1.0
davos_20240122,3,0.9997600128993067,2,266681,266617,2998,,1.0
davos_20240122,12,0.0,2,91,0,38464,,1.0
davos_20240122,37,0.9998097533134631,1,63076,63064,0,,1.0
davos_20240122,42,0.9996189582905882,3,34117,34104,115,,1.0
davos_20240122,52,0.9996498354226486,2,42837,42822,199006,,1.0
davos_20240122,71,0.9984,4,1875,1872,3,,1.0
davos_20240122,72,0.9895833333333334,6,96,95,1,,1.0
davos_20240122,73,0.0,7,55627,0,55309,,1.0
davos_20240122,74,0.9987582267477959,5,32212,32172,771,,1.0
davos_20240122,75,0.9982343853453983,9,18124,18092,56,,1.0
davos_20240122,76,0.994572591587517,16,737,733,12,,1.0
davos_20240122,77,0.9936061381074168,9,782,777,5,,1.0
davos_20240122,78,0.8870962297903939,6,59254,52564,10032,,1.0
davos_20240122,79,0.9994916546640684,3,35409,35391,380,,1.0
davos_20240122,81,0.9983633387888707,3,611,610,4,,1.0
davos_20240122,83,0.9997556074512572,2,36826,36817,108,,1.0
davos_20240122,87,0.9997582302453963,2,24817,24811,9774,,1.0
davos_20240122,88,0.9991992115313539,3,48702,48663,770,,1.0
davos_20240122,89,0.99884732492388,4,45980,45927,575,,1.0
davos_20240122,92,0.999457111834962,2,3684,3682,1916,,1.0
davos_20240122,93,0.9997832736819944,2,161494,161459,51,,1.0
davos_20240122,97,0.9984870223033782,2,76670,76554,215,,1.0
schanf_20240108,1,,,0,0,0,1.0,
schanf_20240108,2,0.0,2,4,0,4,1.0,
schanf_20240108,33,0.09550561797752809,1,178,17,0,1.0,
schanf_20240108,52,0.0025747229374230383,2,8933,23,9965,1.0,
schanf_20240108,71,,,0,0,0,1.0,
schanf_20240108,72,1.0,3,583,583,1,1.0,
schanf_20240108,73,,,0,0,0,1.0,
schanf_20240108,74,0.36363636363636365,2,11,4,0,1.0,
schanf_20240108,75,0.0,8,7,0,0,1.0,
schanf_20240108,76,0.0,11,2,0,2,1.0,
schanf_20240108,77,0.0,8,2,0,2,1.0,
schanf_20240108,78,0.47757255936675463,4,758,362,396,1.0,
schanf_20240108,79,,,0,0,0,1.0,
schanf_20240108,81,1.0,2,2,2,0,1.0,
schanf_20240108,85,0.0,2,34,0,34,1.0,
schanf_20240108,87,0.1282420749279539,3,694,89,605,1.0,
schanf_20240108,89,1.0,2,57,57,2,1.0,
schanf_20240108,93,0.0,2,81,0,127,1.0,
schanf_20240108,14,,,0,0,0,1.0,1.0
schanf_20240108,31,1.0,3,11,11,0,1.0,1.0
schanf_20240108,34,1.0,2,1,1,17,1.0,1.0
schanf_20240108,35,1.0,2,1,1,0,1.0,1.0
schanf_20240108,66,0.9995353159851301,2,4304,4302,13,1.0,1.0
schanf_20240108,91,1.0,2,11,11,44,1.0,1.0
